"time","h_wspd_1","h_wspd_2","h_wspd_3","h_wspd_4","h_wspd_5","h_wspd_6","h_wdir_1","h_wdir_2","h_wdir_3","h_wdir_4","h_wdir_5","h_wdir_6","file_date"
4,7.08750000039736,7.28911112162802,7.65616668674681,7.9100278058317,7.52363889800178,5.91211111108462,-103.538750010596,-101.19850001653,-101.769000002543,-102.618916649289,-102.685444471571,-105.082805521223,2016-01-03
5,7.30127777470483,7.54994445363681,7.88555557635095,8.12997225695186,7.74811114947001,5.9434722257985,-100.796916667091,-98.1058332867093,-98.5557499461704,-99.3518055046929,-99.203805525038,-101.79502778795,2016-01-03
6,7.62138889140553,7.97500001178847,8.34083337704341,8.70016667140855,8.02344446751806,6.17916667249468,-106.996111102634,-104.694611051348,-105.493777764638,-106.646111066606,-107.435694433848,-110.004861100515,2016-01-03
7,8.65666667924987,9.1170833392938,9.34905556148953,9.62972223718961,8.9411388929685,7.51319444298744,-104.332222268846,-103.077305588192,-103.277944463094,-103.899777772692,-104.330527814229,-105.072416689131,2016-01-03
8,9.30391669511795,9.69719445334541,9.89516666173935,10.1732777916061,9.75022222545412,8.71230555997954,-91.4106388092041,-90.477583287557,-90.3988055525886,-90.6638888867696,-90.659555522071,-90.5152222951253,2016-01-03
9,7.30572223411666,7.4983888970481,7.72383334424761,7.94161112480693,7.54205556790034,5.90519443872902,-80.5308888732063,-78.2394722302755,-78.1403610589769,-77.8882778082954,-77.2007500372993,-76.6188888984256,2016-01-03
10,5.29711111532317,5.16791667090522,5.46327778776487,5.66794444521268,5.30247220357259,3.32513889136621,-94.6474167018467,-91.143333384196,-89.0771666293674,-85.9338611200121,-87.3660555246141,-83.5192221479615,2016-01-03
11,5.70322221954664,5.6171527667178,5.86480557481448,5.95244444767634,5.7422499982516,4.68004166881243,-102.957986141841,-100.788722245958,-100.240555573569,-99.9012916723887,-100.418833274841,-100.353916669422,2016-01-03
12,6.17445833033986,6.15622222668595,6.39020832935969,6.48456943710645,6.26627778218852,5.32956943439113,-110.608041659461,-109.964486131668,-109.975236070421,-110.08681948026,-110.776347203785,-112.079444466697,2016-01-03
13,7.01341667440203,7.09850000911289,7.27344446195496,7.28786111593246,6.85966665188471,5.10833331982295,-124.401277720133,-125.089555519952,-125.534388885498,-126.504472270542,-127.684972279867,-134.01208343082,2016-01-03
14,6.80525000320541,6.89538888176282,7.12986110501819,7.17416665792465,6.94244444542461,6.12419444402059,-114.180916654799,-114.827555561066,-114.988638905419,-115.623555567,-116.424611112807,-118.823138978746,2016-01-03
15,6.41255555603239,6.45863888223966,6.66669444508023,6.76427776773771,6.59797222283151,5.9518055413829,-96.9983611170451,-96.2671388583713,-97.4583610852559,-98.9439999813504,-100.669999974569,-103.483027805752,2016-01-03
16,5.06630554636319,4.94494443939792,5.1882222177585,5.27958333551884,5.19394443465604,4.62866667568684,-97.1557777531942,-95.4181944126553,-96.4033610810174,-97.458166601393,-98.3625555186802,-99.0735000101725,2016-01-03
17,6.16194444947773,6.1302777797646,6.42736110832956,6.55875000211928,6.3343888745043,5.30374999456935,-110.015638906691,-108.46141664505,-107.91338889016,-107.620250027974,-107.914861083561,-107.956138850318,2016-01-03
18,6.77824999332428,6.86572222444746,7.19777779075834,7.43486111919085,6.80927778402964,5.17888888743189,-113.750916652679,-110.767472235362,-109.579749983682,-109.694666695065,-109.573611159854,-109.073083341387,2016-01-03
19,7.31241667999162,7.72872225933605,7.76344448063109,7.97655557566219,7.3072500011656,5.36461110671361,-103.599833342234,-101.248944505056,-99.3339444266425,-99.7833055326674,-99.4562499682109,-99.0395833820767,2016-01-03
20,6.96780555559529,7.76343057599333,7.91372223562664,8.21818054431015,7.25636113180055,4.55936109869017,-73.6645555501514,-71.7902777640025,-67.5870694229338,-72.3847500197093,-73.5197361204359,-77.4208472553889,2016-01-03
21,6.27325000100666,7.01143057379458,7.44133334649934,7.26243056423134,6.44440276748604,4.07883332358466,-50.1686388895247,-50.0072638951408,-47.6441666629579,-49.7300555059645,-51.5167083417045,-55.3743055327733,2016-01-03
22,5.46202776683701,6.0806666706668,6.47911111063427,6.30608334024747,5.59555555727747,3.48127777794997,-37.0084444400999,-36.8348888789283,-34.464416689078,-36.5198333252801,-38.222666665713,-40.6869166464276,2016-01-03
23,6.68036111328337,7.26930557303958,7.63825001478195,7.57858336422179,7.01211113320457,5.18519443882836,-13.76277777273,-13.4266666744939,-11.2625833385024,-12.9653333451433,-13.925611112273,-14.8544166617447,2016-01-03
24,8.68377779973878,9.28272222201029,9.6381388841735,9.59283334652583,9.16872223469946,7.33691667834918,-9.0596944425462,-9.02608334004672,-7.9243611134775,-8.69499999912663,-9.35825000729205,-9.23575000879665,2016-01-03
1,7.5587917122576,8.17993053237597,8.59991665005684,8.58220837434133,8.03012502299415,5.84808334065808,-12.8198610949516,-12.4613749812709,-12.3279305628935,-12.5620277868377,-12.9187916922569,-13.5138611143165,2016-01-04
2,6.99905555698607,7.68925001488792,8.17800001740456,8.19052779065238,7.71000001907349,5.51963889625337,-18.1091944430934,-16.9220555598206,-16.3440833307637,-16.2763055597411,-16.5947500038147,-17.3976388818688,2016-01-04
3,5.51252777139346,6.07275000148349,6.53716665877236,6.54449999981456,6.14605555613836,4.55530555983384,-31.6675833296776,-29.7903888805707,-28.8143333003256,-28.2620277521345,-28.6985555658076,-30.0494722096125,2016-01-04
4,6.02761111537615,6.52902777791023,6.92444445371628,6.98752778450648,6.71641666134199,5.11588888393508,-46.1921388922797,-44.5273889070087,-43.5806944327884,-43.1242222277323,-43.3624722358916,-44.0559166579776,2016-01-04
